Date;Description;Distance (km);Time;Time (seconds);Speed (km/h);Best 250m (km/h);Best 500m (km/h);Best 1000m (km/h);Best 5km (km/h);Best 10km (km/h);Best 20km (km/h);Best 50km (km/h);Best 100km (km/h);Best 30 min (km/h);Best 1 h (km/h);Best 2 h (km/h);Best 3 h (km/h);Best 4 h (km/h);Best 5 h (km/h);Max gradient for 250 m (%);Max gradient for 500 m (%);Max gradient for 1000 m (%);Max gradient for 5 km (%);Max gradient for 10 km (%);Max gradient for 20 km (%)
jeu. 22 juillet 2021 - 15:06;Thorigné - Dourdain avec Ève;46,13;03h 12m 54s;11574;14,35;45,00;40,91;37,89;25,32;16,96;15,93;;;16,38;15,57;14,92;14,16;;;6,80;5,76;4,78;1,02;0,52;0,25
dim. 18 juillet 2021 - 06:56;Guillestre - col de l’Izoard (2360 m);66,25;04h 08m 14s;14894;16,01;69,23;64,29;60,00;48,39;42,81;39,54;15,90;;39,54;32,88;19,80;16,06;16,07;;13,84;10,88;10,06;8,76;7,58;5,70
ven. 16 juillet 2021 - 08:43;Guillestre - Col de Vars (2108 m);43,44;02h 52m 13s;10333;15,13;56,25;52,94;48,65;44,33;41,91;33,93;;;32,96;24,61;17,75;;;;12,64;10,12;9,94;8,10;7,17;5,61
mar. 13 juillet 2021 - 10:06;Un petit tour de Guillestre;25,79;02h 34m 55s;9295;9,99;56,25;50,00;46,75;36,96;13,71;10,06;;;15,26;12,55;10,04;;;;19,20;15,16;9,90;7,06;5,35;1,46
sam. 10 juillet 2021 - 07:45;Guillestre - Col d’Agnel (2744 m);89,54;05h 46m 58s;20818;15,48;56,25;52,94;50,00;44,55;40,72;39,85;20,67;;39,84;33,49;23,56;18,43;16,03;15,73;11,28;10,68;9,10;8,42;6,98;6,30
ven. 09 juillet 2021 - 16:55;Sortie à vélo l'après-midi;1,73;13m 11s;791;7,86;26,47;23,08;6,62;;;;;;;;;;;;3,60;2,40;1,06;;;
ven. 09 juillet 2021 - 09:18;Guillestre - Risoul (1875 m);33,44;02h 32m 50s;9170;13,13;56,25;54,55;52,17;43,90;41,33;18,68;;;32,06;19,36;13,80;;;;12,08;10,08;9,48;7,71;7,15;4,35
dim. 04 juillet 2021 - 09:15;Bozel - Col de Parchit (1735 m);37,56;03h 09m 59s;11399;11,86;50,00;48,65;43,90;31,97;19,42;14,13;;;19,14;17,34;12,55;11,55;;;12,00;11,36;10,42;7,16;6,36;4,28
ven. 02 juillet 2021 - 08:40;Bozel - Refuge du Mont Jovet;38,25;03h 53m 37s;14017;9,83;50,00;47,37;43,90;34,68;33,18;18,72;;;28,83;19,71;12,52;10,29;;;13,04;12,16;11,04;9,64;9,06;7,06
mar. 29 juin 2021 - 18:19;Retour boulot;5,38;14m 11s;851;22,77;31,03;29,51;29,03;24,39;;;;;;;;;;;3,20;1,88;1,34;0,31;;
mar. 29 juin 2021 - 08:14;Aller boulot;5,29;13m 57s;837;22,75;33,33;31,03;28,57;24,26;;;;;;;;;;;2,56;1,56;1,00;;;
lun. 28 juin 2021 - 13:47;Sortie à vélo l'après-midi;4,97;13m 19s;799;22,41;33,33;31,03;30,00;;;;;;;;;;;;3,12;2,24;1,74;;;
lun. 28 juin 2021 - 12:19;Sortie à vélo le midi;4,89;11m 54s;714;24,66;39,13;33,96;29,75;;;;;;;;;;;;1,68;1,44;1,00;;;
ven. 25 juin 2021 - 10:48;Vélo du matin;10,12;26m 39s;1599;22,79;39,13;36,73;31,30;24,86;23,21;;;;;;;;;;2,16;1,60;0,90;;;
ven. 25 juin 2021 - 09:50;Vélo du matin;10,20;25m 58s;1558;23,57;32,14;31,58;29,75;25,21;24,05;;;;;;;;;;4,32;3,64;2,02;0,36;0,24;
jeu. 24 juin 2021 - 23:49;Sortie à vélo nocturne;9,98;26m 38s;1598;22,49;32,14;30,00;28,80;24,52;;;;;;;;;;;5,44;4,04;3,02;0,74;;
jeu. 24 juin 2021 - 18:16;Sortie à vélo le soir;5,33;14m 57s;897;21,41;42,86;33,33;26,47;23,26;;;;;;;;;;;4,64;3,04;1,88;;;
jeu. 24 juin 2021 - 10:01;Sortie à vélo matinale;5,44;14m 49s;889;22,05;34,62;33,33;31,30;22,61;;;;;;;;;;;6,40;4,44;3,22;0,86;;
jeu. 24 juin 2021 - 08:21;Sortie à vélo matinale;9,49;26m 17s;1577;21,66;36,00;31,58;27,91;23,97;;;;;;;;;;;2,56;1,52;0,98;;;
mar. 22 juin 2021 - 14:05;Sortie à vélo l'après-midi;9,04;25m 55s;1555;20,92;31,03;29,51;27,91;21,56;;;;;;;;;;;4,08;3,00;2,02;0,75;;
