Date;Description;Distance (km);Time;Time (seconds);Speed (km/h);Best 250m (km/h);Best 500m (km/h);Best 1000m (km/h);Best 5km (km/h);Best 10km (km/h);Best 20km (km/h);Best 50km (km/h);Best 100km (km/h);Best 30 min (km/h);Best 1 h (km/h);Best 2 h (km/h);Best 3 h (km/h);Best 4 h (km/h);Best 5 h (km/h);Max gradient for 250 m (%);Max gradient for 500 m (%);Max gradient for 1000 m (%);Max gradient for 5 km (%);Max gradient for 10 km (%);Max gradient for 20 km (%)
mar. 26 juillet 2022 - 18:15;Retour boulot;7,00;32m 46s;1966;12,83;25,71;24,32;21,95;16,62;;;;;12,74;;;;;;11,60;5,48;1,68;0,50;;
mar. 26 juillet 2022 - 08:32;Aller boulot;5,18;13m 57s;837;22,27;34,62;32,73;30,00;23,14;;;;;;;;;;;5,52;2,20;1,26;0,02;;
lun. 25 juillet 2022 - 18:09;Retour boulot;5,24;12m 33s;753;25,06;36,00;35,29;34,95;26,71;;;;;;;;;;;4,72;1,92;1,56;0,39;;
lun. 25 juillet 2022 - 08:17;Aller boulot;5,39;15m 04s;904;21,45;33,33;30,51;27,69;22,84;;;;;;;;;;;3,20;1,92;1,02;0,16;;
ven. 22 juillet 2022 - 17:53;Retour boulot;5,23;14m 50s;890;21,15;31,03;30,00;29,03;23,47;;;;;;;;;;;4,48;2,12;1,94;0,49;;
ven. 22 juillet 2022 - 08:07;Aller boulot;5,21;13m 50s;830;22,58;33,33;31,03;27,48;23,68;;;;;;;;;;;3,28;1,60;1,14;0,09;;
jeu. 21 juillet 2022 - 18:18;Retour boulot;5,32;19m 25s;1165;16,44;25,00;23,08;21,69;17,22;;;;;;;;;;;6,16;2,12;1,50;0,34;;
jeu. 21 juillet 2022 - 08:16;Aller boulot;5,20;14m 33s;873;21,43;32,14;29,51;26,09;22,58;;;;;;;;;;;3,60;1,60;1,04;;;
mer. 20 juillet 2022 - 18:15;Retour boulot;5,25;17m 17s;1037;18,22;27,27;26,87;23,08;19,03;;;;;;;;;;;3,92;2,04;1,52;0,40;;
mer. 20 juillet 2022 - 08:34;Aller retour;5,20;14m 32s;872;21,49;40,91;34,62;29,03;22,70;;;;;;;;;;;3,52;1,84;1,18;0,03;;
mar. 19 juillet 2022 - 18:16;Retour boulot;5,33;18m 11s;1091;17,59;32,14;30,00;26,67;19,25;;;;;;;;;;;3,92;2,00;1,42;0,33;;
mar. 19 juillet 2022 - 08:19;Aller boulot;5,20;12m 54s;774;24,18;33,33;32,14;30,25;25,64;;;;;;;;;;;4,80;1,76;1,10;;;
lun. 18 juillet 2022 - 12:59;Retour boulot;4,56;13m 13s;793;20,72;27,27;26,47;25,53;;;;;;;;;;;;3,76;2,24;1,74;;;
lun. 18 juillet 2022 - 07:59;Aller boulot;5,25;12m 00s;720;26,23;36,00;33,96;32,14;27,86;;;;;;;;;;;4,00;3,16;2,84;0,77;;
sam. 16 juillet 2022 - 09:50;Sortie VTT le matin;41,06;02h 06m 50s;7610;19,42;42,86;36,73;33,64;23,35;21,10;19,97;;;20,45;19,95;19,49;;;;6,32;4,52;2,48;0,66;0,28;0,17
jeu. 14 juillet 2022 - 09:30;Saint-Lary - Col du Portet (2215 m);38,45;03h 48m 53s;13733;10,08;64,29;64,29;58,06;41,67;38,88;19,30;;;35,49;19,79;13,47;10,70;;;18,24;17,60;15,25;9,67;8,44;7,27
mar. 12 juillet 2022 - 07:29;Saint-Lary-Soulan - Col du Tourmalet (2115 m) via La Hourquette d’Acizan (1564 m);93,78;07h 43m 34s;27814;12,14;64,29;62,07;56,25;49,72;46,27;23,19;12,94;;31,95;21,53;15,54;15,18;12,71;11,69;12,72;12,22;11,36;9,05;8,73;5,93
lun. 11 juillet 2022 - 10:03;Sortie VTT le matin;15,56;01h 29m 27s;5367;10,44;40,91;34,62;28,35;16,62;14,51;;;;14,04;12,39;;;;;25,52;11,24;9,48;1,72;0,59;
sam. 09 juillet 2022 - 08:30;Bourisp - Col d’Aspin (1490 m);45,55;02h 51m 15s;10275;15,96;60,00;60,00;58,06;46,04;42,70;29,16;;;31,42;22,75;15,41;;;;9,52;9,12;8,62;7,62;6,88;3,50
ven. 08 juillet 2022 - 16:26;Saint-Lary-Soulan - Col d’Azet (1580 m);28,53;02h 15m 43s;8143;12,61;60,00;56,25;51,43;42,65;38,59;16,58;;;31,00;18,29;12,92;;;;10,72;9,60;9,22;8,19;7,15;2,12
mer. 06 juillet 2022 - 08:55;Torla - Collata Zebollar (1907 m);29,40;02h 46m 02s;9962;10,62;47,37;45,00;37,50;28,44;25,75;13,25;;;25,44;17,24;11,42;;;;14,88;10,56;9,18;8,22;7,66;2,44
lun. 04 juillet 2022 - 09:34;Torla - Bajaruelo (1458 m);20,10;01h 31m 15s;5475;13,22;45,00;42,86;37,89;30,25;23,81;13,24;;;20,26;14,60;;;;;15,04;10,20;7,74;5,17;3,68;0,02
sam. 02 juillet 2022 - 08:25;Torla - Punta Acuta (2242 m);31,04;03h 55m 41s;14141;7,90;32,14;27,27;25,90;22,76;20,58;11,39;;;20,59;16,42;10,73;8,80;;;17,88;15,78;14,95;11,27;9,77;4,78
mar. 28 juin 2022 - 18:39;Retour boulot;7,18;20m 44s;1244;20,78;33,33;32,73;32,43;23,90;;;;;;;;;;;4,88;3,44;2,72;0,92;;
mar. 28 juin 2022 - 07:42;Aller boulot;5,26;16m 28s;988;19,17;31,03;29,51;26,67;21,61;;;;;;;;;;;2,08;1,76;1,36;0,12;;
